Cell_ID,SRA Accession,Run_ID,cell_line,tissue
s0790_mouse5_HBRX2344_Tumor_1cells,SRX15229727,SRR19163387,PDX4,Tumor
s0791_mouse5_HBRX2344_Tumor_1cells,SRX15229728,SRR19163386,PDX4,Tumor
s0792_mouse5_HBRX2344_Tumor_1cells,SRX15229729,SRR19163385,PDX4,Tumor
s0793_mouse5_HBRX2344_Tumor_1cells,SRX15229730,SRR19163384,PDX4,Tumor
s0794_mouse5_HBRX2344_Tumor_1cells,SRX15229731,SRR19163383,PDX4,Tumor
s0795_mouse5_HBRX2344_Tumor_1cells,SRX15229732,SRR19163382,PDX4,Tumor
s0796_mouse5_HBRX2344_Tumor_1cells,SRX15229733,SRR19163381,PDX4,Tumor
s0797_mouse5_HBRX2344_Tumor_1cells,SRX15229734,SRR19163380,PDX4,Tumor
s0798_mouse5_HBRX2344_Tumor_1cells,SRX15229735,SRR19163379,PDX4,Tumor
s0799_mouse5_HBRX2344_Tumor_2cells,SRX15229736,SRR19163378,PDX4,Tumor
s0800_mouse5_HBRX2344_Tumor_1cells,SRX15229737,SRR19163377,PDX4,Tumor
s0801_mouse5_HBRX2344_Tumor_1cells,SRX15229738,SRR19163376,PDX4,Tumor
s0802_mouse5_HBRX2344_Tumor_2cells,SRX15229739,SRR19163375,PDX4,Tumor
s0803_mouse5_HBRX2344_Tumor_1cells,SRX15229480,SRR19163290,PDX4,Tumor
s0804_mouse5_HBRX2344_Tumor_1cells,SRX15229481,SRR19163289,PDX4,Tumor
s0805_mouse5_HBRX2344_Tumor_2cells,SRX15229482,SRR19163288,PDX4,Tumor
s0806_mouse5_HBRX2344_Tumor_1cells,SRX15229483,SRR19163287,PDX4,Tumor
s0807_mouse5_HBRX2344_Tumor_2cells,SRX15229484,SRR19163286,PDX4,Tumor
s0808_mouse5_HBRX2344_Tumor_1cells,SRX15229485,SRR19163285,PDX4,Tumor
s0809_mouse5_HBRX2344_Tumor_1cells,SRX15229486,SRR19163284,PDX4,Tumor
s0810_mouse5_HBRX2344_Tumor_1cells,SRX15229487,SRR19163283,PDX4,Tumor
s0811_mouse5_HBRX2344_Tumor_2cells,SRX15229488,SRR19163282,PDX4,Tumor
s0812_mouse5_HBRX2344_Tumor_1cells,SRX15229489,SRR19163281,PDX4,Tumor
s0813_mouse5_HBRX2344_Tumor_1cells,SRX15229490,SRR19163280,PDX4,Tumor
s0814_mouse5_HBRX2344_Tumor_1cells,SRX15229491,SRR19163279,PDX4,Tumor
s0815_mouse5_HBRX2344_Tumor_1cells,SRX15229492,SRR19163278,PDX4,Tumor
s0816_mouse5_HBRX2344_Tumor_1cells,SRX15229493,SRR19163277,PDX4,Tumor
s0817_mouse5_HBRX2344_Tumor_1cells,SRX15229494,SRR19163276,PDX4,Tumor
s0818_mouse5_HBRX2344_Tumor_3cells,SRX15229495,SRR19163275,PDX4,Tumor
s0819_mouse5_HBRX2344_Tumor_1cells,SRX15229420,SRR19163006,PDX4,Tumor
s0820_mouse5_HBRX2344_Tumor_1cells,SRX15229421,SRR19163005,PDX4,Tumor
s0821_mouse5_HBRX2344_Tumor_2cells,SRX15229422,SRR19163004,PDX4,Tumor
s0822_mouse5_HBRX2344_Tumor_1cells,SRX15229423,SRR19163003,PDX4,Tumor
s0823_mouse5_HBRX2344_Tumor_1cells,SRX15229424,SRR19163002,PDX4,Tumor
s0824_mouse5_HBRX2344_Tumor_1cells,SRX15229425,SRR19163001,PDX4,Tumor
s0825_mouse5_HBRX2344_Tumor_2cells,SRX15229426,SRR19163000,PDX4,Tumor
s0826_mouse5_HBRX2344_Tumor_1cells,SRX15229427,SRR19162999,PDX4,Tumor
s0827_mouse5_HBRX2344_Tumor_1cells,SRX15229428,SRR19162998,PDX4,Tumor
s0828_mouse5_HBRX2344_Tumor_1cells,SRX15229429,SRR19162997,PDX4,Tumor
s0829_mouse5_HBRX2344_Tumor_1cells,SRX15229430,SRR19162996,PDX4,Tumor
s0830_mouse5_HBRX2344_Tumor_1cells,SRX15229431,SRR19162995,PDX4,Tumor
s0831_mouse5_HBRX2344_Tumor_2cells,SRX15229432,SRR19162994,PDX4,Tumor
s0832_mouse5_HBRX2344_Tumor_1cells,SRX15229433,SRR19162993,PDX4,Tumor
s0833_mouse5_HBRX2344_Tumor_1cells,SRX15229434,SRR19162992,PDX4,Tumor
s0834_mouse5_HBRX2344_Tumor_1cells,SRX15229435,SRR19162991,PDX4,Tumor
s0835_mouse5_HBRX2344_Tumor_1cells,SRX15230336,SRR19163810,PDX4,Tumor
s0836_mouse5_HBRX2344_Tumor_1cells,SRX15230337,SRR19163809,PDX4,Tumor
s0837_mouse5_HBRX2344_Tumor_2cells,SRX15229822,SRR19163636,PDX4,Tumor
s0838_mouse5_HBRX2344_Tumor_1cells,SRX15229823,SRR19163635,PDX4,Tumor
s0839_mouse5_HBRX2344_Tumor_1cells,SRX15229824,SRR19163634,PDX4,Tumor
s0840_mouse5_HBRX2344_Tumor_1cells,SRX15229825,SRR19163633,PDX4,Tumor
s0841_mouse5_HBRX2344_Tumor_1cells,SRX15229826,SRR19163632,PDX4,Tumor
s0842_mouse5_HBRX2344_Tumor_1cells,SRX15229827,SRR19163631,PDX4,Tumor
s0843_mouse5_HBRX2344_Tumor_1cells,SRX15229828,SRR19163630,PDX4,Tumor
s0844_mouse5_HBRX2344_Tumor_1cells,SRX15229829,SRR19163629,PDX4,Tumor
s0845_mouse5_HBRX2344_Tumor_1cells,SRX15229830,SRR19163628,PDX4,Tumor
s0846_mouse5_HBRX2344_Tumor_1cells,SRX15229831,SRR19163627,PDX4,Tumor
s0847_mouse5_HBRX2344_Tumor_1cells,SRX15229832,SRR19163626,PDX4,Tumor
s0848_mouse5_HBRX2344_Tumor_1cells,SRX15229833,SRR19163625,PDX4,Tumor
s0849_mouse5_HBRX2344_Tumor_1cells,SRX15229834,SRR19163624,PDX4,Tumor
s0850_mouse5_HBRX2344_Tumor_1cells,SRX15229835,SRR19163623,PDX4,Tumor
s0851_mouse5_HBRX2344_Tumor_1cells,SRX15229740,SRR19163374,PDX4,Tumor
s0852_mouse5_HBRX2344_Tumor_0cells,SRX15229741,SRR19163373,PDX4,Tumor
s0853_mouse5_HBRX2344_Tumor_1cells,SRX15229742,SRR19163372,PDX4,Tumor
s0854_mouse5_HBRX2344_Tumor_1cells,SRX15229743,SRR19163371,PDX4,Tumor
s0855_mouse5_HBRX2344_Tumor_1cells,SRX15229744,SRR19163370,PDX4,Tumor
s0856_mouse5_HBRX2344_Tumor_1cells,SRX15229745,SRR19163369,PDX4,Tumor
s0857_mouse5_HBRX2344_Tumor_1cells,SRX15229746,SRR19163368,PDX4,Tumor
s0858_mouse5_HBRX2344_Tumor_0cells,SRX15229747,SRR19163367,PDX4,Tumor
s0859_mouse5_HBRX2344_Tumor_0cells,SRX15229748,SRR19163366,PDX4,Tumor
s0860_mouse5_HBRX2344_Tumor_0cells,SRX15229749,SRR19163365,PDX4,Tumor
s0861_mouse6_HBRX2353_Tumor_3cells,SRX15229750,SRR19163364,PDX2,Tumor
s0862_mouse6_HBRX2353_Tumor_1cells,SRX15229751,SRR19163363,PDX2,Tumor
s0863_mouse6_HBRX2353_Tumor_1cells,SRX15229752,SRR19163362,PDX2,Tumor
s0864_mouse6_HBRX2353_Tumor_1cells,SRX15229753,SRR19163361,PDX2,Tumor
s0865_mouse6_HBRX2353_Tumor_2cells,SRX15229754,SRR19163360,PDX2,Tumor
s0866_mouse6_HBRX2353_Tumor_1cells,SRX15229755,SRR19163359,PDX2,Tumor
s0867_mouse6_HBRX2353_Tumor_1cells,SRX15229496,SRR19163274,PDX2,Tumor
s0868_mouse6_HBRX2353_Tumor_2cells,SRX15229497,SRR19163273,PDX2,Tumor
s0869_mouse6_HBRX2353_Tumor_1cells,SRX15229498,SRR19163272,PDX2,Tumor
s0870_mouse6_HBRX2353_Tumor_1cells,SRX15229499,SRR19163271,PDX2,Tumor
s0871_mouse6_HBRX2353_Tumor_1cells,SRX15229500,SRR19163270,PDX2,Tumor
s0872_mouse6_HBRX2353_Tumor_1cells,SRX15229501,SRR19163269,PDX2,Tumor
s0873_mouse6_HBRX2353_Tumor_2cells,SRX15229502,SRR19163268,PDX2,Tumor
s0874_mouse6_HBRX2353_Tumor_2cells,SRX15229503,SRR19163267,PDX2,Tumor
s0875_mouse6_HBRX2353_Tumor_1cells,SRX15229504,SRR19163266,PDX2,Tumor
s0876_mouse6_HBRX2353_Tumor_0cells,SRX15229505,SRR19163265,PDX2,Tumor
s0877_mouse6_HBRX2353_Tumor_1cells,SRX15229506,SRR19163264,PDX2,Tumor
s0878_mouse6_HBRX2353_Tumor_1cells,SRX15229507,SRR19163263,PDX2,Tumor
s0879_mouse6_HBRX2353_Tumor_1cells,SRX15229508,SRR19163262,PDX2,Tumor
s0880_mouse6_HBRX2353_Tumor_1cells,SRX15229509,SRR19163261,PDX2,Tumor
s0881_mouse6_HBRX2353_Tumor_1cells,SRX15229510,SRR19163260,PDX2,Tumor
s0882_mouse6_HBRX2353_Tumor_2cells,SRX15229511,SRR19163259,PDX2,Tumor
s0883_mouse6_HBRX2353_Tumor_1cells,SRX15229436,SRR19162990,PDX2,Tumor
s0884_mouse6_HBRX2353_Tumor_0cells,SRX15229437,SRR19162989,PDX2,Tumor
s0885_mouse6_HBRX2353_Tumor_1cells,SRX15229438,SRR19162988,PDX2,Tumor
s0886_mouse6_HBRX2353_Tumor_0cells,SRX15229439,SRR19162987,PDX2,Tumor
s0887_mouse6_HBRX2353_Tumor_3cells,SRX15229440,SRR19162986,PDX2,Tumor
s0888_mouse6_HBRX2353_Tumor_1cells,SRX15229441,SRR19162985,PDX2,Tumor
s0889_mouse6_HBRX2353_Tumor_1cells,SRX15229442,SRR19162984,PDX2,Tumor
s0890_mouse6_HBRX2353_Tumor_1cells,SRX15229443,SRR19162983,PDX2,Tumor
s0891_mouse6_HBRX2353_Tumor_1cells,SRX15229444,SRR19162982,PDX2,Tumor
s0892_mouse6_HBRX2353_Tumor_1cells,SRX15229445,SRR19162981,PDX2,Tumor
s0893_mouse6_HBRX2353_Tumor_3cells,SRX15229446,SRR19162980,PDX2,Tumor
s0894_mouse6_HBRX2353_Tumor_1cells,SRX15229447,SRR19162979,PDX2,Tumor
s0895_mouse6_HBRX2353_Tumor_1cells,SRX15229448,SRR19162978,PDX2,Tumor
s0896_mouse6_HBRX2353_Tumor_0cells,SRX15229449,SRR19162977,PDX2,Tumor
s0897_mouse6_HBRX2353_Tumor_2cells,SRX15229450,SRR19162976,PDX2,Tumor
s0898_mouse6_HBRX2353_Tumor_debriscells,SRX15229451,SRR19162975,PDX2,Tumor
s0899_mouse6_HBRX2353_Tumor_0cells,SRX15229836,SRR19163622,PDX2,Tumor
s0900_mouse6_HBRX2353_Tumor_2cells,SRX15229837,SRR19163621,PDX2,Tumor
s0901_mouse6_HBRX2353_Tumor_1cells,SRX15229838,SRR19163620,PDX2,Tumor
s0902_mouse6_HBRX2353_Tumor_1cells,SRX15229839,SRR19163619,PDX2,Tumor
s0903_mouse6_HBRX2353_Tumor_1cells,SRX15229840,SRR19163618,PDX2,Tumor
s0904_mouse6_HBRX2353_Tumor_2cells,SRX15229841,SRR19163617,PDX2,Tumor
s0905_mouse6_HBRX2353_Tumor_1cells,SRX15229842,SRR19163616,PDX2,Tumor
s0906_mouse6_HBRX2353_Tumor_1cells,SRX15229843,SRR19163615,PDX2,Tumor
s0907_mouse6_HBRX2353_Tumor_1cells,SRX15229844,SRR19163614,PDX2,Tumor
s0908_mouse6_HBRX2353_Tumor_2cells,SRX15229845,SRR19163613,PDX2,Tumor
s0909_mouse6_HBRX2353_Tumor_2cells,SRX15229846,SRR19163612,PDX2,Tumor
s0910_mouse6_HBRX2353_Tumor_2cells,SRX15229847,SRR19163611,PDX2,Tumor
s0911_mouse6_HBRX2353_Tumor_1cells,SRX15229848,SRR19163610,PDX2,Tumor
s0912_mouse6_HBRX2353_Tumor_1cells,SRX15229849,SRR19163609,PDX2,Tumor
s0913_mouse6_HBRX2353_Tumor_1cells,SRX15229850,SRR19163608,PDX2,Tumor
s0914_mouse6_HBRX2353_Tumor_1cells,SRX15229851,SRR19163607,PDX2,Tumor
s0915_mouse6_HBRX2353_Tumor_1cells,SRX15229756,SRR19163358,PDX2,Tumor
s0916_mouse6_HBRX2353_Tumor_debriscells,SRX15229757,SRR19163357,PDX2,Tumor
s0917_mouse6_HBRX2353_Tumor_1cells,SRX15229758,SRR19163356,PDX2,Tumor
s0918_mouse6_HBRX2353_Tumor_2cells,SRX15229759,SRR19163355,PDX2,Tumor
s0919_mouse6_HBRX2353_Tumor_1cells,SRX15229760,SRR19163354,PDX2,Tumor
s0920_mouse6_HBRX2353_Tumor_debriscells,SRX15229761,SRR19163353,PDX2,Tumor
s0921_mouse6_HBRX2353_Tumor_1cells,SRX15229762,SRR19163352,PDX2,Tumor
s0922_mouse6_HBRX2353_Tumor_1cells,SRX15229763,SRR19163351,PDX2,Tumor
s0923_mouse6_HBRX2353_Tumor_2cells,SRX15229764,SRR19163350,PDX2,Tumor
s0924_mouse6_HBRX2353_Tumor_1cells,SRX15229765,SRR19163349,PDX2,Tumor
s0925_mouse6_HBRX2353_Tumor_2cells,SRX15229766,SRR19163348,PDX2,Tumor
s0926_mouse6_HBRX2353_Tumor_1cells,SRX15229767,SRR19163347,PDX2,Tumor
s0927_mouse6_HBRX2353_Tumor_1cells,SRX15229768,SRR19163346,PDX2,Tumor
s0928_mouse6_HBRX2353_Tumor_2cells,SRX15229769,SRR19163345,PDX2,Tumor
s0929_mouse6_HBRX2353_Tumor_1cells,SRX15229770,SRR19163344,PDX2,Tumor
s0930_mouse6_HBRX2353_Tumor_1cells,SRX15229771,SRR19163343,PDX2,Tumor
s0931_mouse6_HBRX2353_Tumor_1cells,SRX15229512,SRR19163258,PDX2,Tumor
s0932_mouse6_HBRX2353_Tumor_1cells,SRX15229513,SRR19163257,PDX2,Tumor
s0933_mouse6_HBRX2353_Tumor_1cells,SRX15229514,SRR19163256,PDX2,Tumor
s0934_mouse6_HBRX2353_Tumor_3cells,SRX15229515,SRR19163255,PDX2,Tumor
s0935_mouse6_HBRX2353_Tumor_1cells,SRX15229516,SRR19163254,PDX2,Tumor
s0936_mouse6_HBRX2353_Tumor_0cells,SRX15229517,SRR19163253,PDX2,Tumor
s0937_mouse6_HBRX2353_Tumor_1cells,SRX15229518,SRR19163252,PDX2,Tumor
s0938_mouse6_HBRX2353_Tumor_1cells,SRX15229519,SRR19163251,PDX2,Tumor
s0939_mouse6_HBRX2353_Tumor_1cells,SRX15229520,SRR19163250,PDX2,Tumor
s0940_mouse6_HBRX2353_Tumor_1cells,SRX15229521,SRR19163249,PDX2,Tumor
s0941_mouse6_HBRX2353_Tumor_1cells,SRX15229522,SRR19163248,PDX2,Tumor
s0942_mouse6_HBRX2353_Tumor_1cells,SRX15229523,SRR19163247,PDX2,Tumor
s0943_mouse6_HBRX2353_Tumor_0cells,SRX15229524,SRR19163246,PDX2,Tumor
s0944_mouse6_HBRX2353_Tumor_1cells,SRX15229525,SRR19163245,PDX2,Tumor
s0945_mouse6_HBRX2353_Tumor_1cells,SRX15229526,SRR19163244,PDX2,Tumor
s0946_mouse6_HBRX2353_Tumor_1cells,SRX15229527,SRR19163243,PDX2,Tumor
s0947_mouse6_HBRX2353_Tumor_2cells,SRX15229452,SRR19162974,PDX2,Tumor
s0948_mouse6_HBRX2353_Tumor_0cells,SRX15229453,SRR19162973,PDX2,Tumor
s0949_mouse6_HBRX2353_Tumor_0cells,SRX15229454,SRR19162972,PDX2,Tumor
s0950_mouse6_HBRX2353_Tumor_0cells,SRX15229455,SRR19162971,PDX2,Tumor
s0951_mouse6_HBRX2353_Tumor_0cells,SRX15229456,SRR19162970,PDX2,Tumor
s0952_mouse6_HBRX2353_Tumor_3cells,SRX15229457,SRR19162969,PDX2,Tumor
s0953_mouse6_HBRX2353_Tumor_debriscells,SRX15229458,SRR19162968,PDX2,Tumor
s0954_mouse6_HBRX2353_Tumor_0cells,SRX15229459,SRR19162967,PDX2,Tumor
s0955_mouse6_HBRX2353_Tumor_0cells,SRX15229460,SRR19162966,PDX2,Tumor
s0956_mouse6_HBRX2353_Tumor_0cells,SRX15229461,SRR19162965,PDX2,Tumor
s0957_mouse7_HBRX2353_Tumor_0cells,SRX15229462,SRR19162964,PDX2,Tumor
s0958_mouse7_HBRX2353_Tumor_3cells,SRX15229463,SRR19162963,PDX2,Tumor
s0959_mouse7_HBRX2353_Tumor_1cells,SRX15229464,SRR19162962,PDX2,Tumor
s0960_mouse7_HBRX2353_Tumor_1cells,SRX15229465,SRR19162961,PDX2,Tumor
s0961_mouse7_HBRX2353_Tumor_1cells,SRX15229466,SRR19162960,PDX2,Tumor
s0962_mouse7_HBRX2353_Tumor_1cells,SRX15229467,SRR19162959,PDX2,Tumor
s0963_mouse7_HBRX2353_Tumor_1cells,SRX15229852,SRR19163606,PDX2,Tumor
s0964_mouse7_HBRX2353_Tumor_debriscells,SRX15229853,SRR19163605,PDX2,Tumor
s0965_mouse7_HBRX2353_Tumor_1cells,SRX15229854,SRR19163604,PDX2,Tumor
s0966_mouse7_HBRX2353_Tumor_0cells,SRX15229855,SRR19163603,PDX2,Tumor
s0967_mouse7_HBRX2353_Tumor_1cells,SRX15229856,SRR19163602,PDX2,Tumor
s0968_mouse7_HBRX2353_Tumor_1cells,SRX15229857,SRR19163601,PDX2,Tumor
s0969_mouse7_HBRX2353_Tumor_0cells,SRX15229858,SRR19163600,PDX2,Tumor
s0970_mouse7_HBRX2353_Tumor_1cells,SRX15229859,SRR19163599,PDX2,Tumor
s0971_mouse7_HBRX2353_Tumor_1cells,SRX15229860,SRR19163598,PDX2,Tumor
s0972_mouse7_HBRX2353_Tumor_1cells,SRX15229861,SRR19163597,PDX2,Tumor
s0973_mouse7_HBRX2353_Tumor_debriscells,SRX15229862,SRR19163596,PDX2,Tumor
s0974_mouse7_HBRX2353_Tumor_1cells,SRX15229863,SRR19163595,PDX2,Tumor
s0975_mouse7_HBRX2353_Tumor_1cells,SRX15229864,SRR19163594,PDX2,Tumor
s0976_mouse7_HBRX2353_Tumor_1cells,SRX15229865,SRR19163593,PDX2,Tumor
s0977_mouse7_HBRX2353_Tumor_1cells,SRX15229866,SRR19163592,PDX2,Tumor
s0978_mouse7_HBRX2353_Tumor_2cells,SRX15229867,SRR19163591,PDX2,Tumor
s0979_mouse7_HBRX2353_Tumor_1cells,SRX15229772,SRR19163342,PDX2,Tumor
s0980_mouse7_HBRX2353_Tumor_1cells,SRX15229773,SRR19163341,PDX2,Tumor
s0981_mouse7_HBRX2353_Tumor_1cells,SRX15229774,SRR19163340,PDX2,Tumor
s0982_mouse7_HBRX2353_Tumor_1cells,SRX15229775,SRR19163339,PDX2,Tumor
s0983_mouse7_HBRX2353_Tumor_2cells,SRX15229776,SRR19163338,PDX2,Tumor
s0984_mouse7_HBRX2353_Tumor_1cells,SRX15229777,SRR19163337,PDX2,Tumor
s0985_mouse7_HBRX2353_Tumor_1cells,SRX15229778,SRR19163336,PDX2,Tumor
s0986_mouse7_HBRX2353_Tumor_2cells,SRX15229779,SRR19163335,PDX2,Tumor
s0987_mouse7_HBRX2353_Tumor_1cells,SRX15229780,SRR19163334,PDX2,Tumor
s0988_mouse7_HBRX2353_Tumor_1cells,SRX15229781,SRR19163333,PDX2,Tumor
s0989_mouse7_HBRX2353_Tumor_1cells,SRX15229782,SRR19163332,PDX2,Tumor
s0990_mouse7_HBRX2353_Tumor_0cells,SRX15229783,SRR19163331,PDX2,Tumor
s0991_mouse7_HBRX2353_Tumor_1cells,SRX15229784,SRR19163330,PDX2,Tumor
s0992_mouse7_HBRX2353_Tumor_1cells,SRX15229785,SRR19163329,PDX2,Tumor
s0993_mouse7_HBRX2353_Tumor_1cells,SRX15229786,SRR19163328,PDX2,Tumor
s0994_mouse7_HBRX2353_Tumor_1cells,SRX15229787,SRR19163327,PDX2,Tumor
s0995_mouse7_HBRX2353_Tumor_1cells,SRX15229528,SRR19163242,PDX2,Tumor
s0996_mouse7_HBRX2353_Tumor_3cells,SRX15229529,SRR19163241,PDX2,Tumor
s0997_mouse7_HBRX2353_Tumor_1cells,SRX15229530,SRR19163240,PDX2,Tumor
s0998_mouse7_HBRX2353_Tumor_2cells,SRX15229531,SRR19163239,PDX2,Tumor
s0999_mouse7_HBRX2353_Tumor_1cells,SRX15229532,SRR19163238,PDX2,Tumor
s1000_mouse7_HBRX2353_Tumor_1cells,SRX15229533,SRR19163237,PDX2,Tumor
s1001_mouse7_HBRX2353_Tumor_1cells,SRX15229534,SRR19163236,PDX2,Tumor
s1002_mouse7_HBRX2353_Tumor_0cells,SRX15229535,SRR19163235,PDX2,Tumor
s1003_mouse7_HBRX2353_Tumor_1cells,SRX15229536,SRR19163234,PDX2,Tumor
s1004_mouse7_HBRX2353_Tumor_1cells,SRX15229537,SRR19163233,PDX2,Tumor
s1005_mouse7_HBRX2353_Tumor_1cells,SRX15229538,SRR19163232,PDX2,Tumor
s1006_mouse7_HBRX2353_Tumor_1cells,SRX15229539,SRR19163231,PDX2,Tumor
s1007_mouse7_HBRX2353_Tumor_1cells,SRX15229540,SRR19163230,PDX2,Tumor
s1008_mouse7_HBRX2353_Tumor_1cells,SRX15229541,SRR19163229,PDX2,Tumor
s1009_mouse7_HBRX2353_Tumor_1cells,SRX15229542,SRR19163228,PDX2,Tumor
s1010_mouse7_HBRX2353_Tumor_0cells,SRX15229543,SRR19163227,PDX2,Tumor
s1011_mouse7_HBRX2353_Tumor_1cells,SRX15229468,SRR19162958,PDX2,Tumor
s1012_mouse7_HBRX2353_Tumor_debriscells,SRX15229469,SRR19162957,PDX2,Tumor
s1013_mouse7_HBRX2353_Tumor_0cells,SRX15229470,SRR19162956,PDX2,Tumor
s1014_mouse7_HBRX2353_Tumor_1cells,SRX15229471,SRR19162955,PDX2,Tumor
s1015_mouse7_HBRX2353_Tumor_1cells,SRX15229472,SRR19162954,PDX2,Tumor
s1016_mouse7_HBRX2353_Tumor_1cells,SRX15229473,SRR19162953,PDX2,Tumor
s1017_mouse7_HBRX2353_Tumor_1cells,SRX15229474,SRR19162952,PDX2,Tumor
s1018_mouse7_HBRX2353_Tumor_1cells,SRX15229475,SRR19162951,PDX2,Tumor
s1019_mouse7_HBRX2353_Tumor_1cells,SRX15229476,SRR19162950,PDX2,Tumor
s1020_mouse7_HBRX2353_Tumor_2cells,SRX15229477,SRR19162949,PDX2,Tumor
s1021_mouse7_HBRX2353_Tumor_1cells,SRX15230338,SRR19164152,PDX2,Tumor
s1022_mouse7_HBRX2353_Tumor_1cells,SRX15230339,SRR19164151,PDX2,Tumor
s1023_mouse7_HBRX2353_Tumor_1cells,SRX15230340,SRR19164150,PDX2,Tumor
s1024_mouse7_HBRX2353_Tumor_2cells,SRX15230341,SRR19164149,PDX2,Tumor
s1025_mouse7_HBRX2353_Tumor_1cells,SRX15230342,SRR19164148,PDX2,Tumor
s1026_mouse7_HBRX2353_Tumor_debriscells,SRX15230343,SRR19164147,PDX2,Tumor
s1027_mouse7_HBRX2353_Tumor_1cells,SRX15229868,SRR19163590,PDX2,Tumor
s1028_mouse7_HBRX2353_Tumor_1cells,SRX15229869,SRR19163589,PDX2,Tumor
s1029_mouse7_HBRX2353_Tumor_1cells,SRX15229870,SRR19163588,PDX2,Tumor
s1030_mouse7_HBRX2353_Tumor_1cells,SRX15229871,SRR19163587,PDX2,Tumor
s1031_mouse7_HBRX2353_Tumor_1cells,SRX15229872,SRR19163586,PDX2,Tumor
s1032_mouse7_HBRX2353_Tumor_1cells,SRX15229873,SRR19163585,PDX2,Tumor
s1033_mouse7_HBRX2353_Tumor_1cells,SRX15229874,SRR19163584,PDX2,Tumor
s1034_mouse7_HBRX2353_Tumor_1cells,SRX15229875,SRR19163583,PDX2,Tumor
s1035_mouse7_HBRX2353_Tumor_1cells,SRX15229876,SRR19163582,PDX2,Tumor
s1036_mouse7_HBRX2353_Tumor_1cells,SRX15229877,SRR19163581,PDX2,Tumor
s1037_mouse7_HBRX2353_Tumor_debriscells,SRX15229878,SRR19163580,PDX2,Tumor
s1038_mouse7_HBRX2353_Tumor_1cells,SRX15229879,SRR19163579,PDX2,Tumor
s1039_mouse7_HBRX2353_Tumor_1cells,SRX15229880,SRR19163578,PDX2,Tumor
s1040_mouse7_HBRX2353_Tumor_2cells,SRX15229881,SRR19163577,PDX2,Tumor
s1041_mouse7_HBRX2353_Tumor_1cells,SRX15229882,SRR19163576,PDX2,Tumor
s1042_mouse7_HBRX2353_Tumor_1cells,SRX15229883,SRR19163575,PDX2,Tumor
s1043_mouse7_HBRX2353_Tumor_2cells,SRX15229788,SRR19163326,PDX2,Tumor
s1044_mouse7_HBRX2353_Tumor_1cells,SRX15229789,SRR19163325,PDX2,Tumor
s1045_mouse7_HBRX2353_Tumor_1cells,SRX15229790,SRR19163324,PDX2,Tumor
s1046_mouse7_HBRX2353_Tumor_2cells,SRX15229791,SRR19163323,PDX2,Tumor
s1047_mouse7_HBRX2353_Tumor_2cells,SRX15229792,SRR19163322,PDX2,Tumor
s1048_mouse7_HBRX2353_Tumor_0cells,SRX15229793,SRR19163321,PDX2,Tumor
s1049_mouse7_HBRX2353_Tumor_1cells,SRX15229794,SRR19163320,PDX2,Tumor
s1050_mouse7_HBRX2353_Tumor_1cells,SRX15229795,SRR19163319,PDX2,Tumor
s1051_mouse7_HBRX2353_Tumor_1cells,SRX15229796,SRR19163318,PDX2,Tumor
s1052_mouse7_HBRX2353_Tumor_1cells,SRX15229797,SRR19163317,PDX2,Tumor
s1053_mouse8_HBRX1921_Tumor_1cells,SRX15229798,SRR19163316,PDX3,Tumor
s1054_mouse8_HBRX1921_Tumor_1cells,SRX15229799,SRR19163315,PDX3,Tumor
s1055_mouse8_HBRX1921_Tumor_1cells,SRX15229800,SRR19163314,PDX3,Tumor
s1056_mouse8_HBRX1921_Tumor_2cells,SRX15229801,SRR19163313,PDX3,Tumor
s1057_mouse8_HBRX1921_Tumor_1cells,SRX15229802,SRR19163312,PDX3,Tumor
s1058_mouse8_HBRX1921_Tumor_1cells,SRX15229803,SRR19163311,PDX3,Tumor
s1059_mouse8_HBRX1921_Tumor_1cells,SRX15229544,SRR19163226,PDX3,Tumor
s1060_mouse8_HBRX1921_Tumor_2cells,SRX15229545,SRR19163225,PDX3,Tumor
s1061_mouse8_HBRX1921_Tumor_1cells,SRX15229546,SRR19163224,PDX3,Tumor
s1062_mouse8_HBRX1921_Tumor_1cells,SRX15229547,SRR19163223,PDX3,Tumor
s1063_mouse8_HBRX1921_Tumor_1cells,SRX15229548,SRR19163222,PDX3,Tumor
s1064_mouse8_HBRX1921_Tumor_1cells,SRX15229549,SRR19163221,PDX3,Tumor
s1065_mouse8_HBRX1921_Tumor_1cells,SRX15229550,SRR19163220,PDX3,Tumor
s1066_mouse8_HBRX1921_Tumor_1cells,SRX15229551,SRR19163219,PDX3,Tumor
s1067_mouse8_HBRX1921_Tumor_1cells,SRX15229552,SRR19163218,PDX3,Tumor
s1068_mouse8_HBRX1921_Tumor_1cells,SRX15229553,SRR19163217,PDX3,Tumor
s1069_mouse8_HBRX1921_Tumor_1cells,SRX15229554,SRR19163216,PDX3,Tumor
s1070_mouse8_HBRX1921_Tumor_1cells,SRX15229555,SRR19163215,PDX3,Tumor
s1071_mouse8_HBRX1921_Tumor_1cells,SRX15229556,SRR19163214,PDX3,Tumor
s1072_mouse8_HBRX1921_Tumor_1cells,SRX15229557,SRR19163213,PDX3,Tumor
s1073_mouse8_HBRX1921_Tumor_1cells,SRX15229558,SRR19163212,PDX3,Tumor
